species,carnivory_score
Elephas_maximus,0
Microgale_talazaci,100
Echinops_telfairi,60
Dasypus_novemcinctus,100
Tamandua_tetradactyla,100
Choloepus_hoffmanni,0
Sorex_araneus,100
Rousettus_madagascariensis,0
Pteropus_rufus,0
Megaderma_lyra,100
Pipistrellus_pipistrellus,100
Molossus_molossus,100
Noctilio_leporinus,100
Pteronotus_parnellii,100
Macrotus_californicus,50
Desmodus_rotundus,100
Micronycteris_hirsuta,80
Sturnira_hondurensis,0
Tonatia_saurophila,90
Phyllostomus_discolor,30
Anoura_caudifer,30
Rhinoceros_unicornis,0
Sus_scrofa,20
Catagonus_wagneri,0
Bos_taurus,0
Hippopotamus_amphibius,0
Tursiops_truncatus,100
Balaenoptera_edeni,100
Manis_javanica,100
Felis_catus,100
Paradoxurus_hermaphroditus,60
Suricata_suricatta,90
Cryptoprocta_ferox,100
Chrysocyon_brachyurus,80
Canis_lupus,100
Zalophus_californianus,100
Spilogale_gracilis,70
Mustela_putorius,100
Lutra_lutra,100
Potos_flavus,20
Procyon_lotor,60
Bassariscus_sumichrasti,30
Ailurus_fulgens,20
Ursus_malayanus,70
Ursus_maritimus,100
Ursus_americanus,20
Ailuropoda_melanoleuca,10
Tupaia_belangeri,90
Galeopterus_variegatus,0
Otolemur_garnettii,20
Nycticebus_coucang,80
Eulemur_mongoz,0
Microcebus_murinus,40
Cheirogaleus_medius,20
Carlito_syrichta,100
Rhinopithecus_roxellana,0
Theropithecus_gelada,0
Papio_anubis,50
Macaca_fuscata,10
Macaca_fascicularis,50
Saimiri_boliviensis,40
Alouatta_palliata,0
Lepus_timidus,0
Xerus_inauris,30
Sciurus_vulgaris,0
Muscardinus_avellanarius,10
Graphiurus_murinus,60
Peromyscus_crinitus,60
Onychomys_torridus,90
Neotoma_lepida,10
Sigmodon_hispidus,50
Microtus_ochrogaster,0
Cricetomys_gambianus,40
Rattus_norvegicus,30
Rhombomys_opimus,0
Acomys_russatus,60
Monodelphis_domestica,60
Phalanger_gymnotis,0
Macropus_fuliginosus,0
Gymnobelideus_leadbeateri,50
Sarcophilus_harrisii,100
Antechinus_flavipes,100
